Event Name,Date,Venue,City,Country,Genre,Main Artist,Supporting Artists,Ticket Price,Event Type,Venue Capacity,Event Status,Event URL,Organizer
Ed Sheeran Concert,2024-11-15,Sydney Opera House,New York,Germany,Rock,BTS,"Beyoncé, Taylor Swift",$80 - $483,Festival,73477,Scheduled,https://mockticketmaster.com/event/73157,Mock Promoter 4
Drake Festival,2024-09-16,Madison Square Garden,Mumbai,UK,R&B,Billie Eilish,,$169 - $447,Concert,68004,Rescheduled,https://mockticketmaster.com/event/40508,Mock Promoter 9
BTS Festival,2024-09-03,O2 Arena,Los Angeles,France,R&B,Taylor Swift,Billie Eilish,$31 - $276,Concert,65596,Scheduled,https://mockticketmaster.com/event/27127,Mock Promoter 6
Ed Sheeran Concert,2024-11-22,Hollywood Bowl,Mumbai,Australia,Jazz,Drake,"Taylor Swift, Beyoncé",$169 - $293,Concert,1520,Cancelled,https://mockticketmaster.com/event/80101,Mock Promoter 10
Taylor Swift Festival,2024-09-06,Hollywood Bowl,Tokyo,Germany,Country,Ed Sheeran,"Taylor Swift, BTS, The Weeknd",$108 - $399,Festival,51812,Scheduled,https://mockticketmaster.com/event/78742,Mock Promoter 4
Taylor Swift Festival,2024-09-14,Madison Square Garden,New York,India,Country,Drake,"BTS, Beyoncé, Taylor Swift",$39 - $308,Festival,14598,Cancelled,https://mockticketmaster.com/event/39747,Mock Promoter 7
Beyoncé Festival,2024-08-09,O2 Arena,New York,Germany,Classical,Adele,"BTS, Adele, Taylor Swift",$91 - $254,Concert,8190,Rescheduled,https://mockticketmaster.com/event/72217,Mock Promoter 3
Adele Concert,2024-11-21,O2 Arena,Berlin,UK,Hip Hop,Taylor Swift,"Billie Eilish, Adele",$22 - $219,Festival,20186,Scheduled,https://mockticketmaster.com/event/87110,Mock Promoter 10
Taylor Swift Festival,2025-01-22,Hollywood Bowl,Mumbai,Germany,Hip Hop,Ed Sheeran,"Ed Sheeran, Taylor Swift, BTS",$57 - $306,Concert,33799,Postponed,https://mockticketmaster.com/event/42844,Mock Promoter 6
Taylor Swift Festival,2024-12-23,Hollywood Bowl,New York,Japan,Classical,Ed Sheeran,"Adele, Ed Sheeran",$112 - $287,Festival,63299,Rescheduled,https://mockticketmaster.com/event/37324,Mock Promoter 9
Adele Festival,2024-12-20,O2 Arena,London,India,Rock,Billie Eilish,BTS,$154 - $272,Concert,50823,Scheduled,https://mockticketmaster.com/event/11901,Mock Promoter 1
Adele Festival,2025-01-19,Madison Square Garden,Tokyo,Japan,Pop,Taylor Swift,Billie Eilish,$25 - $263,Concert,25004,Postponed,https://mockticketmaster.com/event/18698,Mock Promoter 1
BTS Concert,2024-10-29,Madison Square Garden,Berlin,France,R&B,Taylor Swift,"The Weeknd, Taylor Swift",$169 - $386,Concert,79190,Postponed,https://mockticketmaster.com/event/25681,Mock Promoter 4
Adele Festival,2024-10-21,Royal Albert Hall,Mumbai,India,Rock,Adele,,$38 - $445,Concert,39700,Scheduled,https://mockticketmaster.com/event/27232,Mock Promoter 9
Adele Concert,2025-01-12,Hollywood Bowl,New York,Australia,R&B,Taylor Swift,The Weeknd,$158 - $441,Festival,75838,Cancelled,https://mockticketmaster.com/event/39985,Mock Promoter 7
The Weeknd Concert,2024-11-23,Hollywood Bowl,Tokyo,India,Classical,Beyoncé,BTS,$68 - $368,Concert,72128,Rescheduled,https://mockticketmaster.com/event/29391,Mock Promoter 2
Ed Sheeran Festival,2024-11-27,O2 Arena,London,Japan,Hip Hop,BTS,,$116 - $306,Festival,41803,Postponed,https://mockticketmaster.com/event/19322,Mock Promoter 1
Beyoncé Festival,2025-01-08,Hollywood Bowl,New York,UK,Rock,BTS,Adele,$165 - $403,Festival,78579,Scheduled,https://mockticketmaster.com/event/19955,Mock Promoter 10
Billie Eilish Concert,2024-10-26,Sydney Opera House,Tokyo,UK,Country,The Weeknd,,$123 - $413,Concert,92453,Cancelled,https://mockticketmaster.com/event/77729,Mock Promoter 4
BTS Concert,2024-11-12,Royal Albert Hall,Tokyo,Germany,Jazz,Ed Sheeran,"Drake, Billie Eilish, Ed Sheeran",$74 - $401,Concert,13826,Cancelled,https://mockticketmaster.com/event/63447,Mock Promoter 4
Beyoncé Festival,2024-10-21,Royal Albert Hall,Sydney,India,R&B,Drake,,$170 - $263,Concert,90979,Rescheduled,https://mockticketmaster.com/event/21199,Mock Promoter 3
Drake Concert,2024-09-12,Hollywood Bowl,Berlin,UK,R&B,Drake,Billie Eilish,$136 - $203,Festival,38732,Cancelled,https://mockticketmaster.com/event/44150,Mock Promoter 1
Adele Concert,2024-09-01,Sydney Opera House,Mumbai,India,Pop,Billie Eilish,"The Weeknd, Billie Eilish, Ed Sheeran",$151 - $389,Festival,32084,Rescheduled,https://mockticketmaster.com/event/70094,Mock Promoter 10
Ed Sheeran Concert,2024-09-05,Sydney Opera House,New York,Japan,Classical,Beyoncé,Billie Eilish,$144 - $302,Concert,52544,Cancelled,https://mockticketmaster.com/event/76121,Mock Promoter 8
Drake Festival,2024-11-17,Sydney Opera House,London,Japan,R&B,Ed Sheeran,"Beyoncé, Ed Sheeran, The Weeknd",$78 - $452,Festival,99891,Postponed,https://mockticketmaster.com/event/60991,Mock Promoter 2
Ed Sheeran Concert,2024-11-29,Madison Square Garden,Mumbai,UK,Hip Hop,Drake,,$71 - $346,Concert,29218,Postponed,https://mockticketmaster.com/event/84380,Mock Promoter 2
Adele Festival,2024-08-01,Royal Albert Hall,London,India,Electronic,Taylor Swift,Drake,$161 - $254,Festival,42803,Postponed,https://mockticketmaster.com/event/11004,Mock Promoter 1
Billie Eilish Concert,2024-11-26,Hollywood Bowl,Tokyo,France,Rock,Drake,,$90 - $420,Concert,11791,Rescheduled,https://mockticketmaster.com/event/16466,Mock Promoter 1
The Weeknd Festival,2024-12-25,Madison Square Garden,Berlin,Japan,Pop,Billie Eilish,"Billie Eilish, Drake, Taylor Swift",$38 - $437,Festival,86295,Cancelled,https://mockticketmaster.com/event/49274,Mock Promoter 9
Beyoncé Concert,2024-12-17,Sydney Opera House,Sydney,Australia,Classical,Ed Sheeran,,$160 - $390,Concert,28195,Scheduled,https://mockticketmaster.com/event/19605,Mock Promoter 3
Ed Sheeran Concert,2025-01-23,Royal Albert Hall,New York,USA,Classical,Beyoncé,,$173 - $234,Concert,18257,Rescheduled,https://mockticketmaster.com/event/17569,Mock Promoter 2
Drake Festival,2024-10-06,O2 Arena,Paris,Germany,Rock,Billie Eilish,,$99 - $217,Festival,89965,Postponed,https://mockticketmaster.com/event/49325,Mock Promoter 6
Taylor Swift Festival,2024-10-30,Hollywood Bowl,Mumbai,Germany,Hip Hop,Adele,"Billie Eilish, Ed Sheeran, BTS",$29 - $444,Festival,76058,Postponed,https://mockticketmaster.com/event/72530,Mock Promoter 9
Beyoncé Concert,2024-12-20,Hollywood Bowl,Berlin,Germany,Classical,The Weeknd,"Beyoncé, Taylor Swift, Drake",$70 - $254,Festival,69587,Cancelled,https://mockticketmaster.com/event/96901,Mock Promoter 3
Drake Concert,2024-08-13,Royal Albert Hall,Los Angeles,Japan,Country,Ed Sheeran,"The Weeknd, Ed Sheeran, Billie Eilish",$158 - $492,Festival,85990,Cancelled,https://mockticketmaster.com/event/66200,Mock Promoter 6
The Weeknd Festival,2024-11-29,Madison Square Garden,Berlin,France,Jazz,Billie Eilish,"BTS, Drake, Beyoncé",$77 - $315,Concert,45793,Postponed,https://mockticketmaster.com/event/42898,Mock Promoter 10
Drake Festival,2024-12-05,Madison Square Garden,Sydney,France,R&B,Adele,Ed Sheeran,$193 - $481,Festival,85631,Cancelled,https://mockticketmaster.com/event/16558,Mock Promoter 9
Adele Festival,2025-01-27,Hollywood Bowl,Paris,UK,Classical,The Weeknd,,$46 - $392,Concert,24171,Rescheduled,https://mockticketmaster.com/event/15107,Mock Promoter 5
Billie Eilish Festival,2024-10-20,Sydney Opera House,Sydney,Australia,Hip Hop,BTS,Billie Eilish,$175 - $206,Concert,90292,Cancelled,https://mockticketmaster.com/event/26566,Mock Promoter 3
Ed Sheeran Concert,2024-12-23,Sydney Opera House,London,UK,Country,Adele,BTS,$102 - $345,Festival,82143,Cancelled,https://mockticketmaster.com/event/70973,Mock Promoter 8
Ed Sheeran Festival,2024-11-18,Sydney Opera House,Sydney,Australia,Hip Hop,Billie Eilish,"Ed Sheeran, Taylor Swift, Adele",$200 - $451,Festival,82538,Scheduled,https://mockticketmaster.com/event/32297,Mock Promoter 3
Billie Eilish Concert,2024-10-19,O2 Arena,Paris,Japan,Electronic,Taylor Swift,,$141 - $344,Concert,73099,Postponed,https://mockticketmaster.com/event/89339,Mock Promoter 9
Taylor Swift Concert,2024-11-02,O2 Arena,Sydney,Germany,Electronic,Drake,Drake,$164 - $233,Festival,91146,Cancelled,https://mockticketmaster.com/event/94314,Mock Promoter 4
Adele Concert,2024-12-09,Hollywood Bowl,New York,UK,R&B,Adele,"Taylor Swift, Billie Eilish, BTS",$151 - $479,Concert,18333,Cancelled,https://mockticketmaster.com/event/81170,Mock Promoter 9
Taylor Swift Concert,2024-08-10,O2 Arena,London,India,Classical,Drake,Taylor Swift,$91 - $251,Festival,42146,Rescheduled,https://mockticketmaster.com/event/79159,Mock Promoter 1
Taylor Swift Festival,2024-11-14,Madison Square Garden,New York,Australia,Rock,Ed Sheeran,"BTS, Beyoncé, Ed Sheeran",$76 - $265,Concert,2398,Cancelled,https://mockticketmaster.com/event/60955,Mock Promoter 4
Adele Concert,2024-10-24,Sydney Opera House,Mumbai,France,Hip Hop,Adele,,$57 - $392,Festival,33011,Rescheduled,https://mockticketmaster.com/event/44724,Mock Promoter 7
Adele Festival,2024-08-07,Royal Albert Hall,Los Angeles,UK,Electronic,The Weeknd,"Adele, Taylor Swift, Ed Sheeran",$137 - $439,Festival,5562,Cancelled,https://mockticketmaster.com/event/77427,Mock Promoter 1
The Weeknd Festival,2024-12-02,Royal Albert Hall,Los Angeles,Germany,Hip Hop,Billie Eilish,"Drake, Ed Sheeran",$27 - $311,Concert,82032,Rescheduled,https://mockticketmaster.com/event/53390,Mock Promoter 7
Ed Sheeran Concert,2024-08-25,Royal Albert Hall,Mumbai,Australia,Hip Hop,Drake,Taylor Swift,$27 - $330,Festival,94085,Rescheduled,https://mockticketmaster.com/event/59722,Mock Promoter 10
Adele Concert,2025-01-05,Hollywood Bowl,Berlin,UK,R&B,Drake,Drake,$108 - $254,Concert,78530,Postponed,https://mockticketmaster.com/event/22413,Mock Promoter 2
BTS Festival,2024-09-28,Sydney Opera House,Berlin,India,Jazz,Taylor Swift,BTS,$157 - $273,Festival,98177,Cancelled,https://mockticketmaster.com/event/15606,Mock Promoter 7
The Weeknd Festival,2024-10-07,Sydney Opera House,Los Angeles,UK,Hip Hop,Adele,BTS,$95 - $405,Festival,5151,Cancelled,https://mockticketmaster.com/event/52253,Mock Promoter 5
Drake Festival,2024-11-02,Madison Square Garden,London,USA,Classical,BTS,,$40 - $385,Festival,33173,Rescheduled,https://mockticketmaster.com/event/29760,Mock Promoter 1
Beyoncé Festival,2024-11-05,Sydney Opera House,Paris,Japan,Jazz,Adele,The Weeknd,$192 - $371,Festival,32477,Postponed,https://mockticketmaster.com/event/99100,Mock Promoter 8
Ed Sheeran Festival,2024-12-10,Sydney Opera House,Mumbai,France,Classical,Adele,,$120 - $290,Concert,88904,Rescheduled,https://mockticketmaster.com/event/45396,Mock Promoter 1
The Weeknd Concert,2024-11-29,Royal Albert Hall,Sydney,USA,Hip Hop,Beyoncé,Taylor Swift,$74 - $204,Festival,61073,Rescheduled,https://mockticketmaster.com/event/47704,Mock Promoter 1
Taylor Swift Concert,2024-12-06,O2 Arena,Paris,India,R&B,BTS,,$53 - $406,Festival,21328,Scheduled,https://mockticketmaster.com/event/52266,Mock Promoter 3
BTS Concert,2024-11-21,Hollywood Bowl,Mumbai,Japan,Country,The Weeknd,"The Weeknd, Adele, Taylor Swift",$93 - $370,Concert,52326,Cancelled,https://mockticketmaster.com/event/43834,Mock Promoter 5
Drake Festival,2024-10-28,Sydney Opera House,London,France,Electronic,Adele,Adele,$190 - $376,Concert,15782,Postponed,https://mockticketmaster.com/event/78877,Mock Promoter 7
BTS Festival,2024-12-02,Royal Albert Hall,Sydney,USA,Jazz,Beyoncé,Beyoncé,$89 - $470,Concert,42219,Rescheduled,https://mockticketmaster.com/event/93754,Mock Promoter 1
The Weeknd Concert,2024-10-15,Sydney Opera House,Berlin,Germany,Hip Hop,Beyoncé,"Beyoncé, Billie Eilish, Adele",$189 - $272,Festival,29935,Cancelled,https://mockticketmaster.com/event/91407,Mock Promoter 1
Billie Eilish Festival,2025-01-19,Sydney Opera House,Paris,Australia,Rock,Taylor Swift,"The Weeknd, Beyoncé, Ed Sheeran",$56 - $424,Festival,99922,Scheduled,https://mockticketmaster.com/event/66569,Mock Promoter 4
Beyoncé Concert,2024-11-03,Royal Albert Hall,Mumbai,Germany,R&B,The Weeknd,"Beyoncé, Billie Eilish, The Weeknd",$113 - $236,Festival,87158,Cancelled,https://mockticketmaster.com/event/95340,Mock Promoter 4
Taylor Swift Concert,2024-11-09,Sydney Opera House,New York,USA,R&B,Drake,"The Weeknd, Drake, Ed Sheeran",$41 - $375,Concert,74173,Cancelled,https://mockticketmaster.com/event/36630,Mock Promoter 8
Taylor Swift Concert,2024-12-27,Hollywood Bowl,London,USA,Rock,Taylor Swift,,$119 - $385,Festival,15188,Rescheduled,https://mockticketmaster.com/event/28985,Mock Promoter 10
Beyoncé Festival,2024-12-21,Madison Square Garden,Sydney,Australia,Country,Billie Eilish,"Adele, Beyoncé",$95 - $378,Festival,28884,Postponed,https://mockticketmaster.com/event/89569,Mock Promoter 4
Taylor Swift Concert,2024-09-13,Sydney Opera House,Sydney,Japan,Classical,BTS,"Adele, Ed Sheeran",$75 - $409,Festival,82086,Cancelled,https://mockticketmaster.com/event/23113,Mock Promoter 9
Beyoncé Concert,2024-11-10,Madison Square Garden,Berlin,Australia,Jazz,Billie Eilish,"Ed Sheeran, BTS",$55 - $361,Festival,90617,Postponed,https://mockticketmaster.com/event/52924,Mock Promoter 10
Beyoncé Concert,2024-11-10,Sydney Opera House,Paris,USA,Hip Hop,Adele,"Adele, Drake, Billie Eilish",$115 - $217,Concert,12146,Rescheduled,https://mockticketmaster.com/event/84017,Mock Promoter 10
Drake Festival,2024-08-07,Royal Albert Hall,London,USA,Hip Hop,Adele,Taylor Swift,$116 - $427,Festival,63262,Cancelled,https://mockticketmaster.com/event/18730,Mock Promoter 3
Adele Festival,2024-12-16,Hollywood Bowl,Los Angeles,France,Jazz,Taylor Swift,"Drake, BTS",$187 - $231,Festival,64147,Cancelled,https://mockticketmaster.com/event/85689,Mock Promoter 9
Drake Festival,2024-09-27,Hollywood Bowl,Paris,Germany,R&B,Ed Sheeran,,$148 - $429,Festival,28532,Rescheduled,https://mockticketmaster.com/event/96067,Mock Promoter 5
Ed Sheeran Concert,2024-12-28,Hollywood Bowl,London,India,Pop,Taylor Swift,BTS,$54 - $370,Concert,75176,Cancelled,https://mockticketmaster.com/event/53936,Mock Promoter 6
Beyoncé Concert,2024-10-24,O2 Arena,New York,Germany,Classical,The Weeknd,Adele,$102 - $463,Concert,89285,Cancelled,https://mockticketmaster.com/event/13932,Mock Promoter 2
Drake Concert,2024-08-21,Madison Square Garden,Berlin,Australia,Country,BTS,Ed Sheeran,$36 - $353,Concert,30032,Scheduled,https://mockticketmaster.com/event/81462,Mock Promoter 4
The Weeknd Festival,2024-11-19,O2 Arena,Sydney,France,Electronic,The Weeknd,"Taylor Swift, The Weeknd",$184 - $430,Concert,95711,Scheduled,https://mockticketmaster.com/event/86489,Mock Promoter 5
BTS Concert,2024-12-15,O2 Arena,Sydney,Australia,Electronic,The Weeknd,"Drake, BTS, Beyoncé",$149 - $211,Concert,17173,Postponed,https://mockticketmaster.com/event/43464,Mock Promoter 10
Drake Festival,2024-11-01,Sydney Opera House,Sydney,Germany,Hip Hop,The Weeknd,,$106 - $413,Concert,20937,Cancelled,https://mockticketmaster.com/event/38699,Mock Promoter 8
The Weeknd Concert,2024-12-14,Madison Square Garden,Sydney,USA,R&B,Beyoncé,,$130 - $273,Concert,41790,Scheduled,https://mockticketmaster.com/event/67297,Mock Promoter 8
Taylor Swift Concert,2024-09-30,Royal Albert Hall,Tokyo,Australia,Jazz,Billie Eilish,"The Weeknd, BTS",$121 - $452,Concert,90676,Rescheduled,https://mockticketmaster.com/event/54045,Mock Promoter 9
The Weeknd Festival,2024-09-18,O2 Arena,Mumbai,Australia,Rock,Drake,"The Weeknd, Billie Eilish, Taylor Swift",$75 - $378,Festival,79062,Rescheduled,https://mockticketmaster.com/event/21168,Mock Promoter 8
Adele Concert,2024-10-13,Madison Square Garden,New York,USA,Jazz,Taylor Swift,,$181 - $292,Festival,89290,Cancelled,https://mockticketmaster.com/event/67101,Mock Promoter 8
Billie Eilish Festival,2024-12-18,Hollywood Bowl,Tokyo,USA,Country,The Weeknd,"The Weeknd, Drake",$50 - $324,Concert,51646,Cancelled,https://mockticketmaster.com/event/34661,Mock Promoter 2
Beyoncé Concert,2024-08-24,Madison Square Garden,Paris,UK,Hip Hop,Taylor Swift,"The Weeknd, Taylor Swift",$45 - $485,Festival,3073,Postponed,https://mockticketmaster.com/event/67651,Mock Promoter 1
Beyoncé Festival,2024-09-15,Madison Square Garden,Mumbai,Japan,Jazz,Drake,"Taylor Swift, Adele",$182 - $375,Concert,42262,Scheduled,https://mockticketmaster.com/event/41048,Mock Promoter 4
Drake Concert,2024-09-13,O2 Arena,Los Angeles,Japan,Rock,Adele,"Adele, BTS, Ed Sheeran",$55 - $218,Concert,79880,Scheduled,https://mockticketmaster.com/event/49729,Mock Promoter 5
Ed Sheeran Festival,2025-01-04,O2 Arena,Sydney,India,Pop,Taylor Swift,"Ed Sheeran, Drake",$53 - $394,Festival,79270,Postponed,https://mockticketmaster.com/event/18526,Mock Promoter 1
Taylor Swift Festival,2025-01-24,Madison Square Garden,Berlin,India,Pop,The Weeknd,"Drake, The Weeknd, Billie Eilish",$196 - $233,Concert,31915,Scheduled,https://mockticketmaster.com/event/64220,Mock Promoter 5
Taylor Swift Festival,2024-09-19,Royal Albert Hall,Sydney,India,Country,Beyoncé,Drake,$99 - $434,Festival,79342,Scheduled,https://mockticketmaster.com/event/56851,Mock Promoter 2
Drake Concert,2024-08-11,O2 Arena,Paris,Australia,Electronic,Beyoncé,,$45 - $298,Festival,97870,Rescheduled,https://mockticketmaster.com/event/86364,Mock Promoter 10
Ed Sheeran Festival,2024-11-17,Madison Square Garden,New York,India,Classical,Ed Sheeran,"Adele, Drake",$46 - $261,Festival,85165,Postponed,https://mockticketmaster.com/event/40167,Mock Promoter 9
Beyoncé Concert,2024-09-20,Hollywood Bowl,Paris,Germany,Jazz,Adele,Taylor Swift,$180 - $463,Festival,32721,Rescheduled,https://mockticketmaster.com/event/93913,Mock Promoter 4
Adele Festival,2025-01-27,Sydney Opera House,Sydney,Germany,Hip Hop,Drake,Adele,$86 - $417,Concert,84047,Scheduled,https://mockticketmaster.com/event/29680,Mock Promoter 10
Adele Festival,2025-01-08,Royal Albert Hall,Paris,France,Hip Hop,Adele,BTS,$42 - $352,Festival,23055,Scheduled,https://mockticketmaster.com/event/18934,Mock Promoter 3
Adele Concert,2024-10-31,Hollywood Bowl,London,Japan,Jazz,Adele,,$54 - $321,Festival,51650,Scheduled,https://mockticketmaster.com/event/72667,Mock Promoter 2
BTS Festival,2024-12-04,Hollywood Bowl,London,Australia,Hip Hop,Adele,"Beyoncé, Adele",$113 - $443,Concert,30001,Postponed,https://mockticketmaster.com/event/76592,Mock Promoter 2
Drake Concert,2024-09-02,O2 Arena,Sydney,UK,Country,Adele,"The Weeknd, Adele",$186 - $467,Festival,77447,Rescheduled,https://mockticketmaster.com/event/85060,Mock Promoter 5
Beyoncé Festival,2024-09-27,Madison Square Garden,London,USA,Rock,Billie Eilish,,$171 - $212,Festival,92778,Scheduled,https://mockticketmaster.com/event/27525,Mock Promoter 8
Ed Sheeran Concert,2024-08-05,Madison Square Garden,New York,USA,Jazz,Drake,"Drake, Ed Sheeran, Billie Eilish",$57 - $260,Concert,26420,Postponed,https://mockticketmaster.com/event/15512,Mock Promoter 6
Ed Sheeran Festival,2024-08-21,Sydney Opera House,Sydney,UK,Jazz,Beyoncé,"Billie Eilish, Taylor Swift",$68 - $413,Concert,95596,Cancelled,https://mockticketmaster.com/event/11645,Mock Promoter 5
Adele Festival,2024-08-31,Sydney Opera House,Sydney,India,Electronic,Ed Sheeran,Ed Sheeran,$79 - $401,Festival,17043,Scheduled,https://mockticketmaster.com/event/79749,Mock Promoter 4
Drake Festival,2024-09-13,Royal Albert Hall,Mumbai,Germany,Jazz,The Weeknd,,$192 - $358,Concert,90871,Rescheduled,https://mockticketmaster.com/event/96448,Mock Promoter 6
The Weeknd Festival,2024-11-30,Madison Square Garden,Mumbai,UK,Rock,Drake,"Ed Sheeran, Drake, The Weeknd",$181 - $460,Concert,8299,Cancelled,https://mockticketmaster.com/event/35419,Mock Promoter 7
The Weeknd Concert,2024-12-01,Hollywood Bowl,Paris,India,Hip Hop,Beyoncé,"Adele, Taylor Swift",$131 - $443,Festival,23183,Scheduled,https://mockticketmaster.com/event/20681,Mock Promoter 7
Drake Festival,2024-09-14,O2 Arena,Sydney,USA,R&B,Taylor Swift,"Beyoncé, Adele",$76 - $283,Festival,99226,Scheduled,https://mockticketmaster.com/event/20328,Mock Promoter 1
The Weeknd Festival,2024-10-12,Sydney Opera House,Paris,USA,R&B,Adele,"Beyoncé, Adele, Taylor Swift",$181 - $460,Concert,46239,Rescheduled,https://mockticketmaster.com/event/75408,Mock Promoter 5
BTS Concert,2025-01-02,Madison Square Garden,Berlin,Japan,Pop,Drake,"Drake, Ed Sheeran, Billie Eilish",$139 - $421,Concert,67177,Scheduled,https://mockticketmaster.com/event/25961,Mock Promoter 9
Adele Concert,2025-01-02,O2 Arena,Sydney,Japan,Rock,Drake,"Billie Eilish, Ed Sheeran",$94 - $498,Concert,14181,Cancelled,https://mockticketmaster.com/event/19072,Mock Promoter 1
Billie Eilish Festival,2024-11-14,Royal Albert Hall,Paris,France,Electronic,Adele,"Drake, Billie Eilish",$125 - $455,Concert,61489,Cancelled,https://mockticketmaster.com/event/96459,Mock Promoter 7
BTS Concert,2024-09-05,Hollywood Bowl,Berlin,UK,R&B,Ed Sheeran,"Adele, Beyoncé",$71 - $453,Festival,70042,Rescheduled,https://mockticketmaster.com/event/71239,Mock Promoter 10
Taylor Swift Concert,2024-08-12,Hollywood Bowl,London,India,Rock,Beyoncé,"BTS, Drake, Taylor Swift",$131 - $253,Festival,93992,Scheduled,https://mockticketmaster.com/event/34230,Mock Promoter 9
Beyoncé Concert,2024-11-20,Sydney Opera House,Tokyo,UK,Jazz,Adele,Billie Eilish,$133 - $344,Festival,5060,Scheduled,https://mockticketmaster.com/event/53635,Mock Promoter 10
Adele Concert,2025-01-08,Hollywood Bowl,Paris,Germany,Classical,Ed Sheeran,,$138 - $216,Concert,99329,Rescheduled,https://mockticketmaster.com/event/64037,Mock Promoter 6
Beyoncé Festival,2024-12-05,Hollywood Bowl,Mumbai,France,Classical,The Weeknd,"Beyoncé, BTS, Taylor Swift",$31 - $336,Festival,47647,Scheduled,https://mockticketmaster.com/event/65019,Mock Promoter 2
The Weeknd Festival,2024-10-14,Sydney Opera House,Paris,Japan,Country,Ed Sheeran,"Beyoncé, Taylor Swift",$146 - $491,Concert,70543,Scheduled,https://mockticketmaster.com/event/32773,Mock Promoter 4
Adele Festival,2024-12-13,Hollywood Bowl,Paris,Japan,Hip Hop,The Weeknd,Adele,$183 - $230,Festival,98884,Rescheduled,https://mockticketmaster.com/event/14805,Mock Promoter 5
The Weeknd Concert,2024-08-07,Madison Square Garden,Mumbai,UK,Pop,Adele,"Ed Sheeran, BTS",$84 - $334,Concert,73812,Postponed,https://mockticketmaster.com/event/40508,Mock Promoter 10
Taylor Swift Concert,2024-12-22,Hollywood Bowl,Tokyo,USA,Pop,Adele,"Ed Sheeran, Beyoncé, Drake",$65 - $379,Festival,72708,Cancelled,https://mockticketmaster.com/event/77416,Mock Promoter 3
Beyoncé Concert,2024-12-17,Hollywood Bowl,Los Angeles,Japan,Hip Hop,Billie Eilish,,$90 - $471,Festival,99087,Scheduled,https://mockticketmaster.com/event/15136,Mock Promoter 1
Billie Eilish Concert,2024-10-09,Royal Albert Hall,Sydney,UK,Jazz,BTS,,$194 - $491,Concert,62373,Rescheduled,https://mockticketmaster.com/event/70280,Mock Promoter 8
Drake Festival,2024-10-26,Hollywood Bowl,Tokyo,Australia,Jazz,Billie Eilish,Drake,$103 - $231,Concert,52687,Scheduled,https://mockticketmaster.com/event/20815,Mock Promoter 1
Beyoncé Festival,2024-12-18,Hollywood Bowl,Sydney,Germany,Classical,The Weeknd,The Weeknd,$162 - $208,Concert,70180,Postponed,https://mockticketmaster.com/event/78996,Mock Promoter 4
BTS Concert,2024-12-18,O2 Arena,Los Angeles,USA,Country,Beyoncé,Taylor Swift,$47 - $223,Concert,83454,Rescheduled,https://mockticketmaster.com/event/47306,Mock Promoter 3
Beyoncé Festival,2024-10-21,O2 Arena,London,UK,Hip Hop,The Weeknd,"BTS, Beyoncé, Adele",$110 - $420,Concert,58547,Postponed,https://mockticketmaster.com/event/73420,Mock Promoter 10
Ed Sheeran Concert,2024-12-24,Royal Albert Hall,Sydney,India,Pop,The Weeknd,"Beyoncé, Taylor Swift",$116 - $402,Festival,74274,Postponed,https://mockticketmaster.com/event/17085,Mock Promoter 7
The Weeknd Festival,2024-12-02,Royal Albert Hall,Mumbai,Japan,Classical,BTS,,$94 - $253,Concert,84144,Scheduled,https://mockticketmaster.com/event/43820,Mock Promoter 4
Taylor Swift Concert,2024-10-22,Madison Square Garden,Paris,India,Jazz,Billie Eilish,,$174 - $495,Festival,67497,Postponed,https://mockticketmaster.com/event/66848,Mock Promoter 6
Billie Eilish Festival,2024-11-27,O2 Arena,London,Germany,Rock,Ed Sheeran,"Ed Sheeran, Beyoncé, BTS",$80 - $460,Concert,74479,Cancelled,https://mockticketmaster.com/event/99285,Mock Promoter 6
BTS Festival,2025-01-21,Madison Square Garden,Paris,Japan,Pop,Ed Sheeran,"Beyoncé, Drake, Adele",$20 - $401,Concert,40011,Scheduled,https://mockticketmaster.com/event/15937,Mock Promoter 9
The Weeknd Festival,2024-08-08,Royal Albert Hall,New York,India,Classical,Drake,"The Weeknd, Drake",$80 - $248,Concert,81966,Scheduled,https://mockticketmaster.com/event/80055,Mock Promoter 10
BTS Concert,2024-11-07,Hollywood Bowl,Los Angeles,Japan,Hip Hop,BTS,Ed Sheeran,$176 - $360,Concert,89756,Scheduled,https://mockticketmaster.com/event/53000,Mock Promoter 5
Billie Eilish Concert,2024-12-25,Hollywood Bowl,Sydney,USA,Electronic,Beyoncé,"Ed Sheeran, Taylor Swift",$75 - $294,Festival,56932,Cancelled,https://mockticketmaster.com/event/57171,Mock Promoter 7
Billie Eilish Concert,2024-12-27,Hollywood Bowl,Paris,Australia,R&B,Billie Eilish,"BTS, Taylor Swift, The Weeknd",$156 - $280,Concert,56559,Scheduled,https://mockticketmaster.com/event/64543,Mock Promoter 6
The Weeknd Concert,2024-11-12,Madison Square Garden,Paris,Australia,Electronic,BTS,,$60 - $361,Concert,28989,Cancelled,https://mockticketmaster.com/event/25262,Mock Promoter 7
The Weeknd Concert,2024-11-21,O2 Arena,Paris,UK,Jazz,Ed Sheeran,"Taylor Swift, Billie Eilish, BTS",$89 - $494,Concert,42424,Scheduled,https://mockticketmaster.com/event/49712,Mock Promoter 7
